total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;world_nr;tick_nr
0;0;0;0;0;1;0
0;0;0;0;0;1;1
0;0;0;0;0;1;2
0;0;0;0;0;1;3
0;0;0;0;0;1;4
0;0;0;0;0;1;5
0;0;0;0;0;1;6
0;0;0;0;0;1;7
0;0;0;0;0;1;8
0;0;0;0;0;1;9
0;0;0;0;0;1;10
0;0;0;0;0;1;11
0;0;0;0;0;1;12
0;0;0;0;0;1;13
0;0;0;0;0;1;14
0;0;0;0;0;1;15
0;0;0;0;0;1;16
0;0;0;0;0;1;17
0;0;0;0;0;1;18
0;0;0;0;0;1;19
0;0;0;0;0;1;20
0;0;0;0;0;1;21
0;0;0;0;0;1;22
0;0;0;0;0;1;23
0;0;0;0;0;1;24
0;0;0;0;0;1;25
0;0;0;0;0;1;26
0;0;0;0;0;1;27
0;0;0;0;0;1;28
0;0;0;0;0;1;29
0;0;0;0;0;1;30
1;0;0;0;0;1;31
1;0;0;0;0;1;32
1;1;0;0;0;1;33
1;1;0;0;0;1;34
1;1;0;0;0;1;35
1;1;0;0;0;1;36
1;1;0;0;0;1;37
1;1;0;0;0;1;38
1;1;0;0;0;1;39
1;1;0;0;0;1;40
